;DAY;WEEK;MONTH;YEAR;YEAR_MONTH;NUMSEG;NUMSILLON;CODSEG;ACTIF;LIBTYP;RESAOPEN;DATE_RES;STATUT_SNCF;CODSILLON;DSTFIN;NUMLIGNE;KMS;SENS;SERVICE;CLOSING;REF;DEP;ARR;CODLIGNE;DATCAL;HRE_DEP_MOD;HRE_ARR_MOD;IDCALJ;SEG_MOD;RESTRICT_LNG;EXCTRAIN;EXCSILLON;ENVOI_BULLETIN_COMPO;NUMMISDEP;RAME;RETDEP;RETARR
0;1;22;6;2019;06-2019;14895;329;30521;1;Arrivee;1;02-05-2019 00:00:00;3.0;30521;SETE;23;900;0;SETE/BETTEMBOURG;01-06-2019 08:00:00;01-06-2019 18:00:00;01-06-2019 18:32:00;02-06-2019 06:00:00;BTG-SETE;2019-06-01;;;;;;;;3.0;14915;20A (0-0) - F (1-18) - M (1-18);161.0;153.0
1;2;22;6;2019;06-2019;14915;328;30420;1;Arrivee;1;03-05-2019 00:00:00;3.0;30420;BETTEMBOURG;22;900;1;SETE/BETTEMBOURG;02-06-2019 18:00:00;02-06-2019 18:45:00;02-06-2019 20:26:00;03-06-2019 09:02:00;SETE-BTG;2019-06-02;20:26:00;09:02:00;1980.0;11699.0;0.0;;328.0;3.0;14935;20A (0-0) - F (1-18) - M (1-18);150.0;114.0
2;2;22;6;2019;06-2019;14915;328;30420;1;Arrivee;1;03-05-2019 00:00:00;3.0;30420;BETTEMBOURG;22;900;1;SETE/BETTEMBOURG;02-06-2019 18:00:00;02-06-2019 18:45:00;02-06-2019 20:26:00;03-06-2019 09:02:00;SETE-BTG;2019-06-02;;;;;;;;3.0;14935;20A (0-0) - F (1-18) - M (1-18);150.0;114.0
3;5;23;6;2019;06-2019;14916;328;30420;1;Arrivee;1;06-05-2019 00:00:00;3.0;30420;BETTEMBOURG;22;900;1;SETE/BETTEMBOURG;05-06-2019 18:00:00;05-06-2019 20:15:00;05-06-2019 21:56:00;06-06-2019 10:35:00;SETE-BTG;2019-06-05;;;;;;;;3.0;14936;D (1-18) - K (1-18);5.0;69.0
4;4;23;6;2019;06-2019;15047;359;41314;1;Arrivee;0;05-05-2019 00:00:00;;41314;CALAIS;25;1150;1;CALAIS/ORBASSANO;04-06-2019 20:30:00;04-06-2019 20:00:00;04-06-2019 22:20:00;05-06-2019 23:59:00;ORBA - CAL;2019-06-04;22:20:00;23:59:00;1982.0;12339.0;0.0;;359.0;3.0;15067;O (1-24);36.0;371.0
5;4;23;6;2019;06-2019;15047;359;41314;1;Arrivee;0;05-05-2019 00:00:00;;41314;CALAIS;25;1150;1;CALAIS/ORBASSANO;04-06-2019 20:30:00;04-06-2019 20:00:00;04-06-2019 22:20:00;05-06-2019 23:59:00;ORBA - CAL;2019-06-04;;;;;;;;3.0;15067;O (1-24);36.0;371.0
6;5;23;6;2019;06-2019;15048;359;41314;1;Arrivee;1;06-05-2019 00:00:00;;41314;CALAIS;25;1150;1;CALAIS/ORBASSANO;05-06-2019 20:30:00;05-06-2019 20:00:00;05-06-2019 22:20:00;06-06-2019 23:59:00;ORBA - CAL;2019-06-05;22:20:00;23:59:00;1983.0;12339.0;0.0;;359.0;3.0;15068;R (1-24);80.0;9.0
7;5;23;6;2019;06-2019;15048;359;41314;1;Arrivee;1;06-05-2019 00:00:00;;41314;CALAIS;25;1150;1;CALAIS/ORBASSANO;05-06-2019 20:30:00;05-06-2019 20:00:00;05-06-2019 22:20:00;06-06-2019 23:59:00;ORBA - CAL;2019-06-05;;;;;;;;3.0;15068;R (1-24);80.0;9.0
8;6;23;6;2019;06-2019;15049;359;41314;1;Arrivee;1;07-05-2019 00:00:00;;41314;CALAIS;25;1150;1;CALAIS/ORBASSANO;06-06-2019 20:30:00;06-06-2019 20:00:00;06-06-2019 22:20:00;07-06-2019 21:38:00;ORBA - CAL;2019-06-06;;;;;;;;3.0;15069;Q (1-24);1.0;2.0
9;7;23;6;2019;06-2019;15050;359;41314;1;Arrivee;1;08-05-2019 00:00:00;;41314;CALAIS;25;1150;1;CALAIS/ORBASSANO;07-06-2019 20:30:00;07-06-2019 20:00:00;07-06-2019 22:20:00;08-06-2019 20:39:00;ORBA - CAL;2019-06-07;22:20:00;20:39:00;1985.0;12339.0;0.0;;359.0;3.0;15070;O (1-24);101.0;0.0
10;7;23;6;2019;06-2019;15050;359;41314;1;Arrivee;1;08-05-2019 00:00:00;;41314;CALAIS;25;1150;1;CALAIS/ORBASSANO;07-06-2019 20:30:00;07-06-2019 20:00:00;07-06-2019 22:20:00;08-06-2019 20:39:00;ORBA - CAL;2019-06-07;;;;;;;;3.0;15070;O (1-24);101.0;0.0
11;4;23;6;2019;06-2019;15389;404;BM-30200;1;Arrivee;1;05-05-2019 00:00:00;3.0;30200;MACON;33;590;1;MACON-VILLE/LE BOULOU;04-06-2019 04:00:00;04-06-2019 05:28:00;04-06-2019 06:16:00;04-06-2019 14:32:00;LBP - MAC;2019-06-04;;;;;;;;3.0;15409;MA1 (1-4) - MAC6 (0-0);1.0;0.0
12;5;23;6;2019;06-2019;15390;404;BM-30200;1;Arrivee;1;06-05-2019 00:00:00;3.0;30200;MACON;33;590;1;MACON-VILLE/LE BOULOU;05-06-2019 02:00:00;05-06-2019 05:28:00;05-06-2019 06:16:00;05-06-2019 14:32:00;LBP - MAC;2019-06-05;;;;;;;;3.0;15410;MA2 (1-4) - MAC1 (0-0);3.0;8.0
13;6;23;6;2019;06-2019;15391;404;BM-30200;1;Arrivee;1;07-05-2019 00:00:00;3.0;30200;MACON;33;590;1;MACON-VILLE/LE BOULOU;06-06-2019 02:00:00;06-06-2019 05:28:00;06-06-2019 06:16:00;06-06-2019 14:32:00;LBP - MAC;2019-06-06;;;;;;;;3.0;15411;MAC5 (0-0);0.0;61.0
14;7;23;6;2019;06-2019;15392;404;BM-30200;1;Arrivee;1;08-05-2019 00:00:00;3.0;30200;MACON;33;590;1;MACON-VILLE/LE BOULOU;07-06-2019 02:00:00;07-06-2019 05:28:00;07-06-2019 06:16:00;07-06-2019 14:32:00;LBP - MAC;2019-06-07;;;;;;;;3.0;15412;MA3 (1-4) - MAC7 (0-0);20.0;0.0
15;8;23;6;2019;06-2019;15393;406;BM-30200;1;Arrivee;1;09-05-2019 00:00:00;3.0;30220;MACON;33;590;1;MACON-VILLE/LE BOULOU;08-06-2019 01:00:00;08-06-2019 03:02:00;08-06-2019 03:50:00;08-06-2019 11:39:00;LBP - MAC;2019-06-08;03:50:00;11:39:00;1986.0;15083.0;0.0;;406.0;3.0;15413;MA1 (1-4) - MAC6 (0-0);0.0;2.0
16;8;23;6;2019;06-2019;15393;406;BM-30200;1;Arrivee;1;09-05-2019 00:00:00;3.0;30220;MACON;33;590;1;MACON-VILLE/LE BOULOU;08-06-2019 01:00:00;08-06-2019 03:02:00;08-06-2019 03:50:00;08-06-2019 11:39:00;LBP - MAC;2019-06-08;;;;;;;;3.0;15413;MA1 (1-4) - MAC6 (0-0);0.0;2.0
